Year	113 Cause Name	Cause Name	State	Deaths	Age-adjusted Death Rate
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2587	13.2
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2552	10.8
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2440	12.6
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2433	10.5
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2418	10.9
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2389	13
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2363	11.1
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2347	12.5
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2347	10.3
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2338	13.3
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2314	13.5
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2311	11.1
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2300	10.7
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2297	12.8
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2225	10.9
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2086	12.4
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2053	10.2
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Florida	2029	12.2
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Texas	2005	10.2
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1970	14.7
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1894	14
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1817	13.3
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1788	13.4
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1747	13.2
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1708	8.3
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1707	14.2
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1700	8.1
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1687	8.1
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1679	8.1
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1658	8.2
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1652	7.8
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1650	13.9
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1647	12.4
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1631	12.2
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1576	11.9
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1547	7.7
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1542	13
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1539	11.8
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1526	12.9
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1491	12.6
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1465	12.3
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1441	11.1
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1439	12.2
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1430	11.1
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1417	7
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1415	10.7
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1412	12.2
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1410	11.1
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1410	13.8
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1409	7.1
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	1409	13.3
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1406	13.4
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1398	10.5
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1396	10.8
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1396	7.1
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1373	13
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1364	13.3
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1363	10.3
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1356	10.8
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1354	13.3
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1352	13.1
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1341	10.7
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1341	11.5
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1340	10.6
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1326	6.7
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1325	11.3
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1321	9.9
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1319	11.4
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	1317	12.7
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1295	11.1
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1295	12.9
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	1295	12.6
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1292	9.8
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1287	11.2
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1286	12.7
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1284	10.3
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1284	12.6
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Pennsylvania	1276	10.2
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	1276	18.2
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	1271	17.7
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1263	12.5
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1261	12.5
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1253	6.5
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	1244	18
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1228	6.3
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1226	9.3
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1221	12.2
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1219	10.6
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1213	12.3
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	1212	12
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1198	9.3
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1196	6.3
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1189	6
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1187	6
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1180	11.8
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1178	9
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1177	9.1
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1176	10
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1174	12.2
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1174	12
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1169	5.9
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1169	11.5
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	1168	11.7
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	1168	20.5
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	1166	13.2
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	1163	17.5
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1162	12.3
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	1160	17.8
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	1157	11.7
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	1156	17.3
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1145	9.2
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	1141	14.9
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1139	9.2
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1139	11.2
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	1137	15.4
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	1134	11.9
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	1133	11.7
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	1133	18.4
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	New York	1132	5.9
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1131	11.1
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	1123	12.9
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	1119	15.2
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	1118	12.7
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	1111	16.3
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1108	11
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1108	8.6
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1106	11.1
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1106	12.2
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1102	9.7
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1098	10.9
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	1093	17
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	1093	19.5
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1088	9.5
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1086	8.6
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	1083	19.9
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1077	11.6
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Ohio	1074	9.3
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	1072	12.5
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	1068	15.7
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	1063	12.7
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	1060	16.7
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	1054	12.6
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	1052	19.7
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	1052	17.1
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1051	10.5
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	1038	14.5
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	1034	15.4
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	1030	15.4
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	1029	10.2
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1028	8.1
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1027	11.9
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	1027	14.1
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	1021	14.3
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1020	8.3
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	1017	16.3
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	1016	16.5
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1011	8
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1010	7.9
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	1009	11.5
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	1007	18.6
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Illinois	1003	8.1
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	997	12
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	997	10.9
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	997	14.8
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	986	11.8
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	981	10.4
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	979	16.3
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	978	14.6
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	974	9.9
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Michigan	974	9.9
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	973	11.3
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	973	15.1
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	972	11.6
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	972	15.5
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	971	12
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	963	11.7
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	963	11.7
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	960	15.6
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	960	14.4
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	957	13.9
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	955	11.2
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	955	14.4
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	948	11.8
2014	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	948	14.3
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	947	14.6
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	945	16.4
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	944	14.3
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	943	14.6
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	941	18.7
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	940	14.3
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	935	11.4
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	933	15.3
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	924	10.6
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	923	10.3
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	921	13.3
2012	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	914	14.9
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	913	17.5
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	909	11.1
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	889	13.2
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	886	16.6
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	North Carolina	884	11
2011	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	881	13.5
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	880	15.8
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	880	11.1
2015	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Wisconsin	877	14.7
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	876	11.1
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	874	14.1
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	873	11.2
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	866	11.2
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Wisconsin	866	14.7
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	865	13.1
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	865	16.8
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	864	13.1
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	860	14.3
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	856	14
2010	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	856	14
2013	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Wisconsin	850	14.4
2000	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Georgia	847	10.7
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Tennessee	844	13.4
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Arizona	840	15.5
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	830	13.3
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	828	10.9
2009	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	828	12.8
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	824	13
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	822	12.8
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Oklahoma	822	21
1999	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	816	14
2016	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	South Carolina	815	15.7
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	811	13.4
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	811	16.6
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	809	12.3
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Indiana	809	12.6
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	808	10.9
2007	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	808	13.5
2003	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Washington	803	13.1
2008	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	803	16.1
2005	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	800	17.2
2002	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	799	10.9
2006	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Missouri	799	13.5
2001	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Virginia	797	11
2004	Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)	Suicide	Colorado	797	17.2
